date,count
2022-03-06,1640
2022-03-07,2037
2022-03-07,1888
2022-03-07,1655
2022-03-08,1948
2022-03-09,1998
2022-03-10,1944
2022-03-11,2003
2022-03-12,1965
2022-03-13,1950
2022-03-14,1845
2022-03-14,1927
2022-03-15,1815
2022-03-16,1875
2022-03-17,1875
2022-03-18,1870
2022-03-19,1924
2022-03-20,1877
2022-03-21,1918
2022-03-23,1670
2022-03-24,1613
2022-03-25,1641
2022-03-26,1636
2022-03-27,1620
2022-03-28,1593
2022-03-29,1601
2022-03-29,2015
2022-03-30,1963
2022-03-31,299
2022-04-01,1948
2022-04-02,1934
2022-04-03,1936
2022-04-04,1979
2022-04-05,1981
2022-04-06,1967
2022-04-07,1913
2022-04-08,1944
2022-04-09,1843
2022-04-10,1830
2022-04-11,1877
2022-04-12,1986
2022-04-13,1981
2022-04-14,1894
2022-04-15,1979
2022-04-16,1914
2022-04-17,1935
2022-04-18,1959
2022-04-19,2017
2022-04-20,2005
2022-04-21,1970
2022-04-22,2043
2022-04-23,1926
2022-04-24,1916
2022-04-24,1556
2022-04-25,1931
2022-04-26,2021
2022-04-27,1994
2022-04-28,1942
2022-04-29,1951
2022-04-30,2029
2022-05-01,1918
2022-05-02,1949
2022-05-03,1927
2022-05-04,1949
2022-05-05,1949
2022-05-06,1936
2022-05-07,1929
2022-05-08,1910
2022-05-09,1858
2022-05-10,2002
2022-05-11,2026
2022-05-12,2033
2022-05-13,2010
2022-05-14,2031
2022-05-15,1944
2022-05-16,1956
2022-05-17,1971
2022-05-18,2048
2022-05-19,2068
2022-05-20,2154
2022-05-21,2267
2022-05-23,1849
2022-05-24,1901
2022-05-25,1929
2022-05-26,1873
2022-05-27,1942
2022-05-27,2329
2022-05-28,2266
2022-05-29,2210
2022-05-30,2280
2022-05-31,2335
2022-06-01,2406
2022-06-03,2076
2022-06-04,2083
2022-06-05,2015
2022-06-06,1991
2022-06-07,2001
2022-06-08,2079
2022-06-09,2036
2022-06-10,2012
2022-06-11,2002
2022-06-12,1929
2022-06-13,2007
2022-06-14,2042
2022-06-15,2055
2022-06-16,1965
2022-06-17,2076
2022-06-18,2071
2022-06-19,2060
2022-06-20,2070
2022-06-21,1916
2022-06-22,2019
2022-06-23,2069
2022-06-24,2073
2022-06-25,2064
2022-06-26,2007
2022-06-27,2069
2022-06-28,2016
2022-06-29,1855
2022-06-30,1983
2022-07-01,1920
2022-07-02,1992
2022-07-03,1896
2022-07-04,1801
2022-07-05,1916
2022-07-06,1957
2022-07-07,1689
2022-07-08,1773
2022-07-09,1865
2022-07-10,1890
2022-07-11,1932
2022-07-12,1755
2022-07-13,1651
2022-07-14,1822
2022-07-15,1855
2022-07-16,1885
2022-07-17,1851
2022-07-18,1895
2022-07-19,1892
2022-07-20,1868
2022-07-21,1898
2022-07-22,1886
2022-07-23,1875
2022-07-24,1851
2022-07-25,1841
2022-07-26,1813
2022-07-27,1914
2022-07-28,1928
2022-07-29,1905
2022-07-30,1912
2022-07-31,1873
2022-08-01,1808
2022-08-02,1854
2022-08-03,1828
2022-08-04,1863
2022-08-05,1889
2022-08-06,1906
2022-08-07,1831
2022-08-08,1847
2022-08-09,1808
2022-08-10,1869
2022-08-11,1859
2022-08-12,1911
2022-08-13,1914
2022-08-14,1830
2022-08-15,1814
2022-08-16,1783
2022-08-17,1820
2022-08-18,1818
2022-08-19,1763
2022-08-20,1783
2022-08-21,1682
2022-08-22,1740
2022-08-23,1706
2022-08-24,1887
2022-08-25,1928
2022-08-26,1897
2022-08-27,1939
2022-08-28,1931
2022-08-29,1986
2022-08-30,2070
2022-08-31,1980
2022-09-01,1959
2022-09-02,1939
2022-09-03,1975
2022-09-04,1949
2022-09-05,2004
2022-09-06,2036
2022-09-07,2021
2022-09-08,2052
2022-09-09,1985
2022-09-10,2054
2022-09-11,1949
2022-09-12,1981
2022-09-13,2034
2022-09-14,2030
2022-09-15,2008
2022-09-16,2006
2022-09-17,2009
2022-09-18,1964
2022-09-19,1997
2022-09-20,1980
2022-09-21,1960
2022-09-22,1977
2022-09-23,2028
2022-09-24,1979
2022-09-25,1973
2022-09-26,1913
2022-09-27,1931
2022-09-28,1935
2022-09-29,1925
2022-09-30,1971
2022-10-01,1946
2022-10-02,1866
2022-10-03,1888
2022-10-04,1903
2022-10-05,1889
2022-10-06,1926
2022-10-07,2142
2022-10-08,2098
2022-10-09,2028
2022-10-10,2025
2022-10-11,2043
2022-10-12,2100
2022-10-13,2079
2022-10-14,2157
2022-10-15,2054
2022-10-16,2066
2022-10-17,2031
2022-10-18,2123
2022-10-19,2058
2022-10-20,2087
2022-10-21,2200
2022-10-22,2153
2022-10-23,2158
2022-10-24,2089
2022-10-25,2145
2022-10-26,2047
2022-10-27,2097
2022-10-28,2120
2022-10-29,2194
2022-10-30,2048
2022-10-31,2064
2022-11-01,2072
2022-11-02,2155
2022-11-03,2173
2022-11-04,2114
2022-11-05,2082
2022-11-06,2030
2022-11-07,2045
2022-11-08,2042
2022-11-09,2086
2022-11-10,2088
2022-11-11,1972
2022-11-12,2054
2022-11-13,1956
2022-11-14,2102
2022-11-15,2085
2022-11-16,2099
2022-11-17,2106
2022-11-18,2147
2022-11-19,2106
2022-11-20,2097
2022-11-21,2075
2022-11-22,2176
2022-11-23,2100
2022-11-24,2137
2022-11-25,2218
2022-11-26,2265
2022-11-27,2123
2022-11-28,2231
2022-11-29,2204
2022-11-30,2242
2022-12-01,2264
2022-12-02,2207
2022-12-03,2166
2022-12-04,2132
2022-12-05,2079
2022-12-06,2124
2022-12-07,2093
2022-12-08,2172
2022-12-09,2103
2022-12-10,2150
2022-12-11,2034
2022-12-12,2128
2022-12-13,2192
2022-12-14,2114
2022-12-15,2148
2022-12-16,2095
2022-12-17,289
2022-12-18,2025
2022-12-19,2042
2022-12-20,2097
2022-12-21,2128
2022-12-22,2032
2022-12-23,2048
2022-12-24,1987
2022-12-25,2001
2022-12-26,2024
2022-12-27,2038
2022-12-28,2019
2022-12-29,2037
2022-12-30,2109
2022-12-31,2001
2023-01-01,1925
2023-01-02,2113
2023-01-03,2038
2023-01-04,2121
2023-01-05,2121
2023-01-06,2098
2023-01-07,2028
2023-01-08,1991
2023-01-09,2051
2023-01-10,2072
2023-01-11,2008
2023-01-12,2048
2023-01-13,2046
2023-01-14,2042
2023-01-15,2013
2023-01-16,1976
2023-01-17,2011
2023-01-18,2001
2023-01-19,2032
2023-01-20,1949
